030
COVID-19	covid-19	PRO	PRO_105
Агенция по заетостта	агенция по заетост	ORG	ORG_612
Банско	банско	LOC	LOC_610
Благоевград	благоевград	LOC	LOC_283
Бургас	бургас	LOC	LOC_284
Бюро по труда	бюро по труд	ORG	ORG_612
Велико Търново	велик търново	LOC	LOC_287
Габрово	габрово	LOC	LOC_217
Димитровград	димитровград	LOC	LOC_607
Дупница	дупница	LOC	LOC_613
КНСБ	кнсб	ORG	ORG_251
Казанлък	казанлък	LOC	LOC_608
Перник	перник	LOC	LOC_429
Разлог	разлог	LOC	LOC_609
Русе	русе	LOC	LOC_540
Сливен	сливен	LOC	LOC_174
Стара Загора	стар загора	LOC	LOC_510
Язаки	язака	ORG	ORG_611
Ямбол	ямбол	LOC	LOC_505
