128
Nature Medicine	nature medicine	PRO	PRO_140
Австрия	австрия	LOC	LOC_19
Бенджамин Коулинг	бенджамин коулинг	PER	PER_141
България	българия	LOC	LOC_1
Европа	европа	LOC	LOC_49
Женева	женева	LOC	LOC_135
Майк Райън	майк райън	PER	PER_134
Райън	райън	ORG	ORG_136
Реджеп Ердоган	реджеп ердоган	PER	PER_139
СЗО	сзо	ORG	ORG_86
Световната здравна организация	световен здравен организация	ORG	ORG_133
Словения	словения	LOC	LOC_12
Турция	турция	LOC	LOC_138
Хонконг	хонконг	LOC	LOC_17
Чехия	чехия	LOC	LOC_137
коронавирус	коронавирус	EVT	EVT_3
