129
EUvsDisinfo	euvsdisinfo	PRO	PRO_530
Австрия	австрия	LOC	LOC_19
Германия	германия	LOC	LOC_27
ЕНП	енп	ORG	ORG_474
ЕП	еп	ORG	ORG_474
ЕС	ес	ORG	ORG_5
ЕСВД	есвд	ORG	ORG_529
Европа	европа	LOC	LOC_49
Европейския съюз	европейски съюз	ORG	ORG_5
Европейският парламент	европейски парламент	ORG	ORG_129
Испания	испания	LOC	LOC_10
Италия	италия	LOC	LOC_50
Катарина Барли	катарина барли	PER	PER_131
Китай	китай	LOC	LOC_56
Международния ден на проверка на фактите	международен ден на проверка на факт	EVT	EVT_532
Отмар Карас	отмар карас	PER	PER_130
Парламента	парламент	ORG	ORG_129
Русия	русия	LOC	LOC_95
С&Д	с&д	ORG	ORG_531
Франция	франция	LOC	LOC_20
Чехия	чехия	LOC	LOC_137
