258
Aborcja	aborcja	EVT	EVT_2531
Biała Księga	biały księga	PRO	PRO_2523
CR7	CR7	PRO	PRO_2536
DNA	DNA	PRO	PRO_305
Europie	Europa	LOC	LOC_49
GGGTTA	GGGTTA	PRO	PRO_2535
HLA	HLA	PRO	PRO_2530
Ministerstwa Zdrowia	ministerstwo zdrowie	ORG	ORG_35
Nauka Przeciw Pandemii	nauka przeciw pandemia	ORG	ORG_2537
Pfizera	Pfizer	ORG	ORG_67
Pfizera/BioNTechu	Pfizer / Biontech	PRO	PRO_2287
Polaków	Polak	PER	PER_913
RNA	RNA	PRO	PRO_2394
SARS-CoV-2	Sars-CoV	PRO	PRO_88
Szczepionka RNA	szczepionka RNA	PRO	PRO_2394
TERT	TERT	PRO	PRO_2534
Telomeraza	Telomeraza	PRO	PRO_2533
USA	USA	LOC	LOC_69
Wisłą	Wisła	LOC	LOC_2532
covid	covid	PRO	PRO_403
covid-19	covid - 19	PRO	PRO_105
