ru-26
COVID-19	COVID - 19	EVT	EVT_233
mos.ru	mos.ru	PRO	PRO_2827
www.mir24.tv	www.mir24.tv	PRO	PRO_3265
Анна Бажайкина	Анна Бажайкин	PER	PER_2280
Батыршин Р.И.	батыршин Р. И.	PER	PER_3264
Геликон-опера	геликон - опера	ORG	ORG_2839
Геликон-опере	геликон - опера	ORG	ORG_2839
Геликоне	геликон	LOC	LOC_3256
Госуслуги	госуслуга	ORG	ORG_2873
Депо	депо	ORG	ORG_3258
Дмитрий Бертман	Дмитрий Бертман	PER	PER_3257
Емиас.Инфо	емиас Инфо	ORG	ORG_3259
Закрытого акционерного общества	закрыть акционерный общество	ORG	ORG_3267
МИР 24	мир 24	ORG	ORG_3255
Матвей Окутин	Матвей Окутин	PER	PER_3261
Мир	мир	PRO	PRO_985
Москва	Москва	LOC	LOC_316
Москвы	Москва	LOC	LOC_316
Наталия Горина	Наталия Горин	PER	PER_2922
Онлайн-трансляция	онлайн - трансляция	ORG	ORG_3266
России	Россия	LOC	LOC_95
Ростов-на-Дону	Ростов - на-дон	LOC	LOC_2974
Светлана Андреева	Светлана Андреев	PER	PER_2279
Спутник V	спутник v	PRO	PRO_94
Ульяновск	Ульяновск	LOC	LOC_3260
Ульяновске	ульяновска	LOC	LOC_3260
Хабаровск	Хабаровск	LOC	LOC_506
Хабаровске	Хабаровск	LOC	LOC_217
ЭпиВакКорона	эпиваккорон	ORG	ORG_1892
ЮВО	юво	ORG	ORG_3263
Южном военном округе	Южный военный округ	LOC	LOC_3262
