sl-103
Ameriška centralna banka	ameriški centralen banka	ORG	ORG_1282
Barceloni	Barceloni	LOC	LOC_549
COVID-19	COVId - 19	PRO	PRO_105
Evropo	Evropa	LOC	LOC_49
Italijo	Italija	LOC	LOC_50
Kitajske	Kitajska	LOC	LOC_56
Robert	Robert	PER	PER_535
Robert Rolih	Robert Rolih	PER	PER_2114
Roberta Rolih	Robert Rolih	PER	PER_2114
Rolih	Rolih	PER	PER_2117
The Million Dollar Decision	the million dollar decision	PRO	PRO_2115
Združene države	združen država	LOC	LOC_69
kongres mobilne tehnologije	kongres mobilen tehnologija	EVT	EVT_2116
Ženevi	Ženeva	LOC	LOC_135
