sl-138
Boštjan Koritnik	Boštjan Koritnik	PER	PER_1470
COVID-19	COVId - 19	PRO	PRO_105
DSO Hrastnik	DSO Hrastnik	ORG	ORG_1577
GPS	GPS	PRO	PRO_1584
Hrastnik	Hrastnik	ORG	ORG_1578
Kočevje	Kočevje	LOC	LOC_1428
Lukovica	Lukovica	LOC	LOC_1579
NIJZ	NIJZ	ORG	ORG_1294
Nacionalnega inštituta za javno zdravje	nacionalen inštitut za javen zdravje	ORG	ORG_596
Nacionalnemu inštitutu za javno zdravje	nacionalen inštitut za javen zdravje	ORG	ORG_596
SARS-CoV-2	SARS - cov - 2	PRO	PRO_88
Sloveniji	Slovenija	LOC	LOC_831
Starost	starost	ORG	ORG_1583
Trbovlje	Trbovlje	LOC	LOC_1581
Vlada RS	vlada RS	ORG	ORG_1576
Vlada republike Slovenije	vlada republika Slovenija	ORG	ORG_1576
Vlade RS	vlada RS	ORG	ORG_1576
Zagorje ob Savi	Zagorje ob Sava	LOC	LOC_1582
Zakon	zakon	PRO	PRO_1270
Šmartno pri Litiji	Šmartno pri Litija	LOC	LOC_1580
