sl-176
Covid-19	Covid - 19	EVT	EVT_233
Dolenjsko	dolenjski	LOC	LOC_1380
Habinčeva	Habinčev	PER	PER_1379
Inštituta za filozofske študije Znanstvenoraziskovalnega središča Koper	inštitut za filozofski študija znanstvenoraziskovalen središče Koper	ORG	ORG_1382
Lenart Škof	Lenart škof	PER	PER_1374
Mateja Habinc	Mateja Habinc	PER	PER_1323
Remija Braguea	remija Braguea	PER	PER_1383
STA	biti	ORG	ORG_953
Slovencev	Slovenec	PER	PER_716
Slovenske škofovske konference	slovenski škofovski konferenca	ORG	ORG_1375
Stanislav Zore	Stanislav Zore	PER	PER_1376
katedre za etnologijo	katedr za etnologija	ORG	ORG_1377
ljubljanske filozofske fakultete	ljubljanski filozofski fakulteta	ORG	ORG_1378
Škof	škof	PER	PER_1381
Škofa	škof	PER	PER_1381
