sl-179
COVID-19	COVId - 19	EVT	EVT_233
Igor Pravst	Igor Pravst	PER	PER_1400
Inštituta za nutricionistiko	inštitut za nutricionistika	ORG	ORG_1398
Inštitutu za nutricionistiko	inštitut za nutricionistika	ORG	ORG_1398
Marija Pfeifer	Marija Pfeifer	PER	PER_1401
Nutrihealth	Nutrihealth	ORG	ORG_1399
Priporočila za nadomeščanje vitamina D	priporočilo za nadomeščanje vitamin D	PRO	PRO_1397
SZD	SZD	ORG	ORG_1243
Slovenije	Slovenija	LOC	LOC_831
Vitamin D	vitamin D	PRO	PRO_1397
Združenja endokrinologov Slovenije	združenje endokrinolog Slovenija	ORG	ORG_1402
