uk-10004
COVID-19	COVID - 19	EVT	EVT_233
Telegram	Telegram	PRO	PRO_2596
Viber!‎‎	Viber !‎‎	ORG	ORG_2635
Євгенія Ковалевська	Євгенія Ковалевськ	PER	PER_2661
Інфлувак	Інфлувак	ORG	ORG_2665
ВВС	ВВС	PRO	PRO_2662
Всесвітня організація охорони здоров'я	всесвітній організація охорона здоров’я	ORG	ORG_133
Дарина Дмитрієвська	Дарина дмитрієвський	PER	PER_1809
Джісі Флю	джісі Флю	ORG	ORG_2666
Києва	Київ	LOC	LOC_317
Міністерство охорони здоров'я	міністерство охорона здоров’я	ORG	ORG_35
Міністерстві охорони ‎здоров'я	міністерство охорона рздоров’я	ORG	ORG_35
Нідерланди	Нідерланда	LOC	LOC_190
Південна ‎Корея	південний р. Корей	LOC	LOC_60
Україна	Україна	ORG	ORG_2663
України	Україна	LOC	LOC_318
Україну	Україна	LOC	LOC_318
Україні	Україна	LOC	LOC_318
Федір Лапій	Федір Лапій	PER	PER_2664
Федір ‎Лапій	Федір Ю Лапій	PER	PER_2664
Франція	Франція	LOC	LOC_20
територію	територія	LOC	LOC_2667
‎Дарина Дмитрієвська	р. Дарина дмитрієвський	PER	PER_1809
