uk-10338
AstraZeneca	AstraZeneca	EVT	EVT_2739
COVAX	COVAX	ORG	ORG_2639
COVID-19	COVID - 19	PRO	PRO_105
LB.ua	LB .ua	ORG	ORG_2638
NVX-CoV2373	NVX - CoV2373	PRO	PRO_2741
ONLINE.UA	ONLINE . UA	ORG	ORG_2638
Pfizer	Pfizer	ORG	ORG_67
Serum	Serum	ORG	ORG_2742
Sinovac	Sinovac	ORG	ORG_2299
Віктор Ляшко	Віктор Ляшко	PER	PER_2326
Глобального альянсу	глобальний альянс	ORG	ORG_2737
Київ	Київ	LOC	LOC_317
Ляшко	Ляшко	PER	PER_2327
МОЗ	МОЗ	ORG	ORG_86
Мінфіном	мінфін	ORG	ORG_2740
Міністерства охорони здоров’я	міністерство охорона здоров’я	ORG	ORG_35
Національною службою здоров’я України	національний служба здоров’я Україна	ORG	ORG_1156
Україна	Україна	LOC	LOC_318
Україні	Україна	LOC	LOC_318
пояснив	пояснити	PER	PER_2738
