013
Brexit	brexit	EVT	EVT_747
Politico	politico	PRO	PRO_543
Айвън Роджърс	айвън роджърс	PER	PER_3741
Америка	америка	LOC	LOC_69
Ангела Меркел	ангела меркел	PER	PER_117
Байдън	байдън	PER	PER_3577
Белия дом	бял дом	LOC	LOC_72
Берлин	берлин	LOC	LOC_504
Брюксел	брюксел	LOC	LOC_212
Вашингтон	вашингтон	LOC	LOC_183
Великобритания	великобритания	LOC	LOC_6
Даунинг стрийт	даунинг стрийт	LOC	LOC_3743
Дейвид Камерън	дейвид камерън	PER	PER_3740
Джо Байдън	джо байдън	PER	PER_76
Джонсън	джонсън	PER	PER_1154
ЕС	ес	ORG	ORG_5
Европа	европа	LOC	LOC_49
Еманюел Макрон	еманюел макрон	PER	PER_24
Ирландия	ирландия	LOC	LOC_455
Лондон	лондон	LOC	LOC_23
НАТО	нато	ORG	ORG_864
Обединеното кралство	обединя-(се) кралство	LOC	LOC_6
Париж	париж	LOC	LOC_22
Питър Рикетс	питър рикетс	PER	PER_3739
Рикетс	рикетс	PER	PER_3742
САЩ	сащ	LOC	LOC_69
консервативната партия	консервативен партия	ORG	ORG_3431
