075
NOVA	nova	PRO	PRO_277
Алън Лихтман	алън лихтман	PER	PER_3447
Америка	америка	LOC	LOC_69
Байдън	байдън	PER	PER_3577
Барак Обама	барак обама	PER	PER_3496
Белия дом	бял дом	LOC	LOC_72
Вашингтон Поуст	вашингтон поуст	LOC	LOC_183
Голямата депресия	голям депресия	EVT	EVT_3659
Джаред Къшнер	джаред къшнер	PER	PER_3537
Джо Байдън	джо байдън	PER	PER_76
Джордж Буш	джордж буш	PER	PER_3450
Доналд Джей Тръмп	доналд джей тръмп	PER	PER_70
Доналд Тръмп	доналд тръмп	PER	PER_70
Израел	израел	LOC	LOC_833
Лихтман	лихтман	PER	PER_3447
Рейгън	рейгън	PER	PER_3586
Роналд Рейгън	роналд рейгън	PER	PER_2710
САЩ	сащ	LOC	LOC_69
Съветския съюз	съветски съюз	ORG	ORG_3660
Съединените щати	съединя-(се) щат	LOC	LOC_69
Тръмп	тръмп	PER	PER_70
Хърбърт Хувър	хърбърт хувър	PER	PER_2894
