087
Twitter	twitter	PRO	PRO_71
БНР	бнр	ORG	ORG_3591
Байдън	байдън	PER	PER_3577
Белия дом	бял дом	LOC	LOC_72
Демократическата партия	демократически партия	ORG	ORG_584
Джо Байдън	джо байдън	PER	PER_76
Доналд Тръмп	доналд тръмп	PER	PER_70
Избирателната колегия	избирателен колегия	ORG	ORG_3309
Камарата на представителите	камара на представител	ORG	ORG_3333
Мичиган	мичиган	LOC	LOC_99
Пенсилвания	пенсилвания	LOC	LOC_101
САЩ	сащ	LOC	LOC_69
Сената	сенат	ORG	ORG_1012
Тръмп	тръмп	PER	PER_70
Уисконсин	уисконсин	LOC	LOC_527
Флорида	флорида	LOC	LOC_894
демократите	демократ	PER	PER_2172
