089
АП	ап	ORG	ORG_451
Айова	айова	LOC	LOC_3370
Аризона	аризона	LOC	LOC_1748
Байдън	байдън	PER	PER_76
Бил Клинтън	бил клинтън	PER	PER_3473
Джо Байдън	джо байдън	PER	PER_76
Доналд Тръмп	доналд тръмп	PER	PER_70
Иван Гуляшки	иван гуляшки	PER	PER_639
Охайо	охайо	LOC	LOC_1736
Пенсилвания	пенсилвания	LOC	LOC_101
САЩ	сащ	LOC	LOC_69
Северна Каролина	северен каролина	LOC	LOC_168
Тексас	тексас	LOC	LOC_1022
Тръмп	тръмп	LOC	LOC_3316
Уисконсин	уисконсин	LOC	LOC_527
Флорида	флорида	LOC	LOC_894
Фокс нюз	фокс нюз	PRO	PRO_3308
демократите	демократ	PER	PER_2172
