132
FT	ft	PRO	PRO_562
Protect Democracy	protect democracy	ORG	ORG_3635
Webcafe	webcafe	ORG	ORG_3362
Америка	америка	LOC	LOC_69
Американските щати	американски щат	LOC	LOC_69
Байдън	байдън	PER	PER_3577
Барак Обама	барак обама	PER	PER_3496
Басин	басин	PER	PER_3636
Белия дом	бял дом	LOC	LOC_72
Дейн	дейн	LOC	LOC_3028
Демократическата партия	демократически партия	ORG	ORG_584
Детройт	детройт	LOC	LOC_1669
Джо Байдън	джо байдън	PER	PER_76
Джорджия	джорджия	LOC	LOC_2174
Доналд Тръмп	доналд тръмп	PER	PER_70
Избирателната колегия	избирателен колегия	ORG	ORG_3309
Марк Бруър	марк бруър	PER	PER_3486
Милуоки	милуоки	LOC	LOC_2498
Мичиган	мичиган	LOC	LOC_99
Невада	невада	LOC	LOC_1153
Пенсилвания	пенсилвания	LOC	LOC_101
Ръсел Райли	ръсел райли	PER	PER_3634
САЩ	сащ	LOC	LOC_69
Тръмп	тръмп	PER	PER_70
Уейн	уейн	LOC	LOC_202
Уисконсин	уисконсин	LOC	LOC_527
Ян Басин	ян басин	PER	PER_3636
демократи	демократ	PER	PER_2172
колегия	колегия	ORG	ORG_2385
републиканци	републиканец	PER	PER_1985
