145
Аксиос	аксиос	PRO	PRO_3465
Алабама	алабама	LOC	LOC_3330
Американския университет във Вашингтон	американски университет във вашингтон	ORG	ORG_2524
Аризона	аризона	LOC	LOC_1748
Арканзас	арканзас	LOC	LOC_3375
БГНЕС	бгнес	ORG	ORG_84
Байдън	байдън	PER	PER_76
Белия дом	бял дом	LOC	LOC_72
Блумбърг	блумбърг	ORG	ORG_121
България	българия	LOC	LOC_1
Върховния съд на Пенсилвания	върховен съд на пенсилвания	ORG	ORG_3459
Върховния съд на САЩ	върховен съд на сащ	ORG	ORG_3345
Върховният съд на САЩ	върховен съд на сащ	ORG	ORG_3345
Дейвид Люблин	дейвид люблин	PER	PER_3424
Джо Байдън	джо байдън	PER	PER_76
Джорджия	джорджия	LOC	LOC_2174
Доналд Тръмп	доналд тръмп	PER	PER_70
Йонко Мермерски	йонко мермерски	PER	PER_3460
Камала Харис	камала харис	PER	PER_1984
Кейли Макенани	кейли макенани	PER	PER_3461
Кентъки	кентъки	LOC	LOC_230
Луизиана	луизиана	LOC	LOC_1663
Мат Морган	мат морган	PER	PER_3444
Мисисипи	мисисипи	LOC	LOC_519
Мисури	мисури	LOC	LOC_519
Мичиган	мичиган	LOC	LOC_99
Морис Фиорина	морис фиорина	PER	PER_3464
Невада	невада	LOC	LOC_1153
Пенсилвания	пенсилвания	LOC	LOC_101
Питър Бъргърсън	питър бъргърсън	PER	PER_3463
Републиканската партия	републикански партия	ORG	ORG_584
САЩ	сащ	LOC	LOC_69
Сената на САЩ	сенат на сащ	ORG	ORG_3345
Станфордския университет	станфордски университет	ORG	ORG_1059
ТАСС	тасс	ORG	ORG_494
Тексас	тексас	LOC	LOC_1022
Тръмп	тръмп	PER	PER_70
Университета на Флорида	университет на флорида	ORG	ORG_3462
Флорида	флорида	LOC	LOC_894
Южна Дакота	южен дакота	LOC	LOC_523
Южна Каролина	южен каролина	LOC	LOC_168
републиканците	републиканец	PER	PER_1985
