file18724132
6ActionNews	6 ActionNews	PRO	PRO_3852
Biden	Biden	PER	PER_3577
Bílého domu	bílý dům	LOC	LOC_72
Donald Trump	Donald Trump	PER	PER_70
Filadelfii	Filadelfie	LOC	LOC_3816
Georgie	Georgie	PER	PER_2171
Georgii	Georgie	LOC	LOC_2174
Joe Biden	Joe Biden	PER	PER_76
Michiganu	Michigan	LOC	LOC_99
ON-LINE	on - Line	ORG	ORG_1193
Pensylvánii	Pensylvánie	LOC	LOC_2427
Spojených státech	spojený stát	LOC	LOC_69
Trump	Trump	PER	PER_977
Trumpa	Trumpa	PER	PER_977
Trumpův	Trumpův	PER	PER_977
Virginie	Virginie	LOC	LOC_3851
