file18907976
Americké	americký	PRO	PRO_3510
Biden junior	Biden junior	PER	PER_3782
Bidena	Bidena	PER	PER_3577
Bidenův	Bidenův	PER	PER_3577
Bílý dům	bílý dům	LOC	LOC_72
Donald	Donald	PER	PER_3783
Donald Trump	Donald Trump	PER	PER_70
Donalda Trumpa	Donald Trumpa	PER	PER_70
Hunter	Hunter	PER	PER_1209
Hunter Biden	Hunter Biden	PER	PER_3618
Joe Biden	Joe Biden	PER	PER_76
Joea Bidena	Joe Bidena	PER	PER_76
Trumpa	Trumpa	PER	PER_977
Trumpův	Trumpův	PER	PER_977
Ukrajiny	Ukrajina	LOC	LOC_318
volby 2020	volba 2020	EVT	EVT_2110
