file18908009
AP	AP	ORG	ORG_451
Arizoně	Arizona	LOC	LOC_1748
Biden	Biden	PER	PER_3577
Bidena	Bidena	PER	PER_3577
Bidenova	Bidenův	PER	PER_1246
Brad Raffensperger	brada Raffensperger	PER	PER_3349
Bílém domě	bílý dům	LOC	LOC_72
CNN	CNN	PRO	PRO_243
Fox	Fox	PRO	PRO_3828
Georgii	Georgie	LOC	LOC_2174
Nevadě	Nevada	LOC	LOC_1153
Pensylvánii	Pensylvánie	LOC	LOC_2427
Severní Karolíně	severní Karolín	LOC	LOC_168
Trump	Trump	PER	PER_977
Trumpa	Trumpa	PER	PER_977
Trumpova	Trumpov	PER	PER_977
USA	USA	LOC	LOC_69
