34
#Biden	# Biden	PER	PER_3577
#Trump	# Trump	PER	PER_4574
Ameryka	Ameryka	LOC	LOC_69
Arizonie	Arizon	LOC	LOC_1748
Biden	Biden	PER	PER_3577
Bidena	Biden	PER	PER_3577
Cejrowski	Cejrowski	PER	PER_4573
Demokraci	demokrata	PER	PER_2172
Florydy	Floryda	LOC	LOC_894
Florydzie	Floryda	LOC	LOC_894
Joe Biden	Joe Biden	PER	PER_76
Michigan	Michigan	LOC	LOC_99
Minnesotę	minnesota	PRO	PRO_4558
Ohio	Ohio	LOC	LOC_1736
Onet	Onet	PER	PER_2539
Stanach Zjednoczonych	Stany Zjednoczone	LOC	LOC_69
Trump	Trump	PER	PER_977
Trumpa	Trump	PER	PER_977
Twitterze	twitter	PRO	PRO_71
USA	USA	LOC	LOC_69
Wisconsin	Wisconsin	LOC	LOC_527
Wojciech Cejrowski	Wojciech Cejrowski	PER	PER_4573
