45
AP	ap	ORG	ORG_451
Alabama	Alabama	LOC	LOC_3330
Arkansas	Arkansas	LOC	LOC_3375
CNN	CNN	PRO	PRO_243
Connecticut	Connecticut	LOC	LOC_4613
Dakota Południowa	Dakota południowy	LOC	LOC_523
Dakota Północna	Dakota Północny	LOC	LOC_523
Delaware	Delaware	LOC	LOC_3342
Donald Trump	Donald Trump	PER	PER_70
Donalda Trumpa	Donald Trump	PER	PER_70
Dystrykt Kolumbii	dystrykt Kolumbia	LOC	LOC_517
Floryda	Floryda	LOC	LOC_894
Florydzie	Floryda	LOC	LOC_894
Hillary Clinton	Hillary Clinton	PER	PER_2175
Idaho	Idaho	LOC	LOC_522
Illinois	Illinois	LOC	LOC_1249
Indiana	Indiana	LOC	LOC_336
Joe Bidena	Joe Biden	PER	PER_76
Kalifornię	kalifornia	LOC	LOC_102
Kansas	Kansas	LOC	LOC_3371
Karolina Południowa	Karolina Południow	LOC	LOC_168
Karolinie Północnej	Karolin północny	LOC	LOC_168
Kentucky	Kentucky	LOC	LOC_4613
Kolorado	Kolorado	LOC	LOC_521
Louisiana	Louisian	LOC	LOC_1663
Maryland	Maryland	LOC	LOC_3136
Massachussetts	Massachussetts	LOC	LOC_508
Miami	Miami	LOC	LOC_3368
Michigan	Michigan	LOC	LOC_99
Mississippi	Mississippi	LOC	LOC_4559
Missouri	Missouri	LOC	LOC_519
Nebraska	Nebraska	LOC	LOC_104
New Hampshire	New Hampshire	LOC	LOC_3454
New Jersey	New Jersey	LOC	LOC_103
Nowy Jork	nowy Jork	LOC	LOC_2256
Nowy Meksyk	nowy Meksyk	LOC	LOC_3583
Ohio	Ohio	LOC	LOC_1736
Oklahoma	Oklah	LOC	LOC_520
Oregon	Oregon	LOC	LOC_2170
Orlando	Orlando	LOC	LOC_4575
Pensylwania	Pensylwania	LOC	LOC_2427
Rdzy	rdza	PRO	PRO_4608
Tennessee	Tennessee	LOC	LOC_3374
Trump	Trump	PER	PER_977
Trumpa	Trump	PER	PER_977
USA	USA	LOC	LOC_69
Utah	Utah	LOC	LOC_524
Vermont	Vermont	LOC	LOC_1737
Waszyngton	Waszyngton	LOC	LOC_183
Wirginia Zachodnia	Wirginia Zachodni	LOC	LOC_3373
Wirginii Zachodniej	Wirginia Zachodni	LOC	LOC_3373
Wirginię	Wirginia	LOC	LOC_4606
Wisconsin	Wisconsin	LOC	LOC_527
Wyoming	Wyoming	LOC	LOC_3372
republikanów	republikanin	PER	PER_1985
