ru-120
#RNC2020	# RNC2020	PRO	PRO_5702
America First	America First	PRO	PRO_3747
FoxNews	FoxNews	PRO	PRO_3308
GOP	gop	PRO	PRO_5703
Америка	Америка	LOC	LOC_69
Америка на первом месте	Америка на первый место	PRO	PRO_3747
Байден	Байден	PER	PER_3577
Барака Обамы	Барак Обама	PER	PER_3496
Ближний Восток	ближний Восток	LOC	LOC_841
ВОЗ	ВОЗ	ORG	ORG_86
Вашингтон	Вашингтон	LOC	LOC_183
Вашингтона	Вашингтон	LOC	LOC_183
Вашингтону	Вашингтон	LOC	LOC_183
Владимира Путина	Владимир Путин	PER	PER_5376
Всемирной организации здравоохранения	всемирный организация здравоохранение	ORG	ORG_133
ДОН	ДОН	PRO	PRO_5708
ДРСМД	дрсмд	PRO	PRO_5707
Джо	Джо	PER	PER_3622
Джо Байден	Джо Байден	PER	PER_76
Договора	договор	PRO	PRO_1452
Договора о ликвидации ракет средней и меньшей дальности	договор о ликвидация ракета средний и меньший дальность	PRO	PRO_4812
Договора по открытому небу	договор по открытый небо	PRO	PRO_4028
Дональд Трамп	Дональд Трамп	PER	PER_70
Дональда Трампа	Дональд Трамп	PER	PER_70
ЕС	ес	ORG	ORG_5
Интерфакс	интерфакс	ORG	ORG_710
Ираном	Иран	LOC	LOC_177
КНДР	КНДР	LOC	LOC_4892
Камала Харрис	камал Харрис	PER	PER_1984
Камалу Харрис	камал Харрис	PER	PER_1984
Канадой	Канада	LOC	LOC_78
Канады	Канада	LOC	LOC_78
Китай	Китай	LOC	LOC_56
Китая	Китай	LOC	LOC_56
Крыма	Крым	LOC	LOC_2855
Кубой	куба	LOC	LOC_4709
Майкла Пенса	Майкла Пенс	PER	PER_5409
Мексики	Мексика	LOC	LOC_79
Мексикой	Мексика	LOC	LOC_79
Москва	Москва	LOC	LOC_316
Москве	Москва	LOC	LOC_316
Москвой	Москва	LOC	LOC_316
НАФТА	нафта	PRO	PRO_3677
Овального кабинета	овальный кабинет	ORG	ORG_3729
Организацию Объединенных Наций по вопросам образования , науки и культуры	Организация объединить Нация по вопрос образование , наука и культура	ORG	ORG_5706
Парижского соглашения по климату	парижский соглашение по климат	PRO	PRO_3669
Пекин	Пекин	LOC	LOC_234
Пекином	Пекин	LOC	LOC_234
Пенс	пенс	PER	PER_5658
РФ	РФ	LOC	LOC_95
Республиканской партии	республиканский партия	ORG	ORG_584
Республиканской партии США	республиканский партия США	ORG	ORG_5426
Республиканцы за Байдена	республиканец за Байден	EVT	EVT_5705
Роберт Мюллер	Роберт Мюллер	PER	PER_3486
Рональда Рейгана	Рональд Рейган	PER	PER_4537
России	Россия	LOC	LOC_95
СПЧ	спч	ORG	ORG_48
США	США	LOC	LOC_69
Свобода	свобода	PRO	PRO_3348
Северная Каролина	Северный Каролин	LOC	LOC_168
Сенате США	Сенат США	ORG	ORG_5546
Совет ООН по правам человека	совет ООН по право человек	ORG	ORG_5561
Соглашения о североамериканской зоне свободной торговли	Соглашение о североамериканский зона свободный торговля	PRO	PRO_3676
Съезд республиканцев	Съезд республиканец	EVT	EVT_5704
ТАСС	ТАСС	ORG	ORG_494
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
Украине	Украина	LOC	LOC_318
Шарлотт	Шарлотт	LOC	LOC_3900
Шарлотте	Шарлотт	LOC	LOC_3900
ЮНЕСКО	юнеско	ORG	ORG_268
