ru-28
FiveThirtyEight	FiveThirtyEight	PRO	PRO_4629
Айова	Айова	LOC	LOC_3370
Айове	Айова	LOC	LOC_3370
Алабама	Алабам	LOC	LOC_3330
Аляске	Аляска	LOC	LOC_518
Аризона	Аризон	LOC	LOC_1748
Аризоне	Аризона	LOC	LOC_1748
Аризоны	Аризона	LOC	LOC_1748
Арканзас	Арканзас	LOC	LOC_3375
Байден	Байден	PER	PER_3577
Байдена	Байден	LOC	LOC_3557
Барак Обама	Барак Обама	PER	PER_3496
ВАШИНГТОН	вашингтон	LOC	LOC_3436
Вайоминг	Вайоминг	LOC	LOC_3372
Вашингтоне	Вашингтон	LOC	LOC_183
Великую старую партию	великий старый партия	ORG	ORG_3466
Вирджинию	Вирджиний	LOC	LOC_3851
Висконсин	Висконсин	LOC	LOC_527
Висконсине	висконсина	LOC	LOC_527
Демократической партии	демократический партия	ORG	ORG_584
Джозефом Байденом	Джозеф Байден	PER	PER_76
Джорджии	Джорджия	LOC	LOC_2174
Дональд Трамп	Дональд Трамп	PER	PER_70
Западная Вирджиния	западный Вирджиния	LOC	LOC_3373
Иллинойс	Иллинойс	LOC	LOC_1249
Индиана	Индиан	LOC	LOC_336
Калифорнии	Калифорния	LOC	LOC_102
Канзас	Канзас	LOC	LOC_3371
Кентукки	Кентукка	LOC	LOC_4613
Колумбия	Колумбия	LOC	LOC_517
Конгресса	Конгресс	ORG	ORG_3350
Конгресса США	Конгресс США	ORG	ORG_4061
Коннектикут	Коннектикут	LOC	LOC_4613
Массачусетс	Массачусетс	LOC	LOC_550
Миннесоте	Миннесота	LOC	LOC_100
Миссисипи	Миссисипи	LOC	LOC_4559
Миссури	Миссури	LOC	LOC_519
Мичиган	Мичиган	LOC	LOC_99
Мичигане	Мичиган	LOC	LOC_99
Мэриленд	Мэриленд	LOC	LOC_4745
Небраска	Небраска	LOC	LOC_104
Неваде	Невада	LOC	LOC_1153
Новой Англии	новый Англия	LOC	LOC_2137
Нью-Джерси	Нью-Джерси	LOC	LOC_103
Огайо	Огайо	LOC	LOC_1736
Оклахома	Оклахом	LOC	LOC_520
Орегоне	Орегона	LOC	LOC_2170
Палаты представителей	Палата представитель	ORG	ORG_3333
Пенсильвании	пенсильвание	LOC	LOC_2427
Пенсильвания	Пенсильвание	LOC	LOC_101
США	США	LOC	LOC_69
Северная	Северный	LOC	LOC_533
Северная Каролина	Северный Каролин	LOC	LOC_168
Северной Каролине	Северный Каролин	LOC	LOC_168
Сената	сенат	ORG	ORG_1012
Теннесси	Теннесси	LOC	LOC_3374
Техаса	техас	LOC	LOC_1022
Техасе	Техас	LOC	LOC_1022
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
Трампу	трампа	PER	PER_977
Флорида	Флорида	LOC	LOC_894
Флориде	Флорида	LOC	LOC_894
Хиллари Клинтон	Хиллари Клинтон	PER	PER_2175
Южная Дакоты	Южный Дакота	LOC	LOC_523
Юта	Юта	LOC	LOC_524
демократы	демократ	PER	PER_2172
округ Колумбия	округ Колумбия	LOC	LOC_517
республиканцев	республиканец	PER	PER_1985
сенаторов	сенатор	PER	PER_3378
