ru-59
#MeToo	# MeToo	EVT	EVT_5001
-	-	PER	PER_3286
AP	AP	ORG	ORG_451
BBC	БИ-БИ-СИ	PRO	PRO_3440
Daily Kos	Daily Kos	PRO	PRO_5005
Getty	Getty	PRO	PRO_4949
Getty Images	Getty Images	PRO	PRO_4949
Huffington Post	Huffington Post	PRO	PRO_4992
Instagram	Instagram	PRO	PRO_301
Montgomery Adviser	Montgomery Adviser	ORG	ORG_5004
Obamacare	Obamacare	ORG	ORG_4813
The Hill	The Hill	ORG	ORG_4674
Алабама	Алабам	LOC	LOC_3330
Алабаме	Алабама	LOC	LOC_3330
Ассошиэйтед пресс	ассошить пресс	ORG	ORG_2606
Барака Обамы	Барак Обама	PER	PER_3496
Бейонсе	Бейонс	PER	PER_4728
Бена Стайна	Бена Стайна	PER	PER_4999
Бето О'Рурка	бето Одрурк	PER	PER_4201
Бето О’Рурк	бето О’Рурк	PER	PER_4201
Би-би-си	Би - би-с	ORG	ORG_2909
Брайан Стейл	Брайан Стейл	PER	PER_3407
Вашингтон	Вашингтон	LOC	LOC_183
Вашингтоне	Вашингтон	LOC	LOC_183
Висконсин	Висконсин	ORG	ORG_3726
Висконсине	висконсина	LOC	LOC_527
Дана Рорабахер	даный Рорабахер	PER	PER_4985
Демократической партии	демократический партия	ORG	ORG_584
Джареда Полиса	Джаред Полис	PER	PER_5007
Дональда Трампа	Дональд Трамп	PER	PER_70
Дональдом Трампом	Дональд Трамп	PER	PER_70
Дэннис Хоф	дэннис Хоф	PER	PER_4989
Ильхан Омар	Ильхан Омар	PER	PER_3338
Инстаграме	инстаграм	PRO	PRO_301
Калифорнии	Калифорния	LOC	LOC_102
Калифорния	Калифорния	LOC	LOC_102
Канзас	Канзас	LOC	LOC_3371
Канзаса	Канзас	LOC	LOC_3371
Канзасе	Канзас	LOC	LOC_3371
Капитолийский холм	капитолийский холм	ORG	ORG_4987
Кейт Браун	Кейт Браун	PER	PER_5010
Келлиан Конуэй	келлиан Конуэй	PER	PER_1196
Кобач	кобач	PER	PER_5006
Кобача	кобача	PER	PER_991
Код капиталиста	код капиталист	PRO	PRO_4998
Колорадо	Колорадо	LOC	LOC_521
Конгресс мусульманок	Конгресс мусульманка	ORG	ORG_5002
Конгресса	Конгресс	ORG	ORG_3350
Конгрессе	Конгресс	ORG	ORG_3350
Конгрессе от	Конгресс от	ORG	ORG_3350
Константин Косачев	Константин Косачев	PER	PER_566
Косачев	Косачев	PER	PER_1710
Косачева	косачева	PER	PER_113
Крис Кобач	Крис Кобач	PER	PER_1964
Круза	Круз	PER	PER_3858
Лора Келли	Лора Келли	PER	PER_3390
Марлоном Райсом	марлоном Райс	PER	PER_5009
Марша	марша	PER	PER_5000
Массачусетса	Массачусетс	LOC	LOC_508
Миннесоте	Миннесота	LOC	LOC_100
Митт Ромни	митт Ромня	PER	PER_3399
Миттом Ромни	миттом Ромня	PER	PER_3399
Невада	Невада	LOC	LOC_1153
Неваде	Невада	LOC	LOC_1153
Ньюта Бюлера	ньюта Бюлер	PER	PER_5011
Нэнси Пелоси	Нэнси Пелось	PER	PER_3442
Омар	Омар	LOC	LOC_5003
Орегон	Орегон	LOC	LOC_2170
О’Рурк	о’рурк	PER	PER_3481
Палате представителей	палата представитель	ORG	ORG_3333
Палатой представителей	палата представитель	ORG	ORG_3333
Палату представителей	Палата представитель	ORG	ORG_3333
Пол Райан	Пол Райан	PER	PER_3697
Полис	полис	PER	PER_4871
Путина	Путин	PER	PER_315
Райан	Райан	PER	PER_2710
Рашида Тлаиб	Рашид Тлаиб	PER	PER_3337
Республиканской партии	республиканский партия	ORG	ORG_584
Ромни	Ромня	PER	PER_3399
Рональда Рейгана	Рональд Рейган	PER	PER_4537
Рорабахер	рорабахер	PER	PER_4985
Рорабахера	рорабахер	PER	PER_4985
Россией	Россия	LOC	LOC_95
России	Россия	LOC	LOC_95
Роуда	роуда	PER	PER_3586
Русская служба	русский служба	ORG	ORG_801
США	США	LOC	LOC_69
Сан-Франциско	сан-франциско	LOC	LOC_2698
Сенат	Сенат	ORG	ORG_1012
Сенате	Сенат	ORG	ORG_1012
Си-би-эс	Си - би-эс	ORG	ORG_2909
Скотта Уокера	Скотт Уокер	PER	PER_4995
Сомали	Сомали	LOC	LOC_4111
