sl-10
ABC	abc	ORG	ORG_267
Američanov	Američan	PER	PER_64
Amy Coney Barrett	Amy Coney Barrett	PER	PER_3626
Arlingtonu	Arlington	LOC	LOC_4506
Bader Ginsburgove	Bader Ginsburgov	PER	PER_1113
Belo hišo	bel hiša	LOC	LOC_72
Demokrati	demokrat	PER	PER_2172
Elizabeth Neumann	Elizabeth Neumann	PER	PER_4510
Facebook	Facebook	PRO	PRO_98
Joe Biden	Joe Biden	PER	PER_76
Judinjo	Judinja	PER	PER_4507
Pensilvaniji	Pensilvanija	LOC	LOC_2427
Rassmussen	Rassmussen	PRO	PRO_4508
Ruth Bader Ginsburg	Ruth Bader Ginsburg	PER	PER_3827
Senatni republikanci	senaten republikanec	PER	PER_1985
Stuart Jolly	Stuart Jolly	PER	PER_4509
Trump	Trump	PER	PER_977
Trumpa	Trumpa	PER	PER_977
Trumpova	Trumpov	PER	PER_977
Trumpove	Trumpov	PER	PER_977
Trumpovega	Trumpov	PER	PER_977
Trumpovi	Trumpov	PER	PER_977
Twitter	Twitter	PRO	PRO_71
Washington Posta	Washington Posta	PRO	PRO_3763
ZDA	ZDA	LOC	LOC_69
demokratov	demokrat	PER	PER_2172
republikancem	republikanec	PER	PER_1985
republikancev	republikanec	PER	PER_1985
republikanci	republikanec	PER	PER_1985
