sl-112
#MSM	# msm	PRO	PRO_312
Anže Logar	Anže Logar	PER	PER_1471
BBC	BBC	ORG	ORG_382
Bidna	biden	PER	PER_3577
Bidnu	Bidno	PER	PER_1246
Borut Pahor	Borut Pahor	PER	PER_1482
DW	dw	PRO	PRO_334
Deutsche Welle	Deutsche Welle	PRO	PRO_491
Donald	Donald	PER	PER_3783
Donalda Trumpa	Donalda Trumpa	PER	PER_70
Donaldu Trumpu	Donald Trump	PER	PER_70
EU	EU	ORG	ORG_5
Estonijo	Estonija	LOC	LOC_2134
Evropi	Evropa	LOC	LOC_49
Evropske unije	evropski unija	ORG	ORG_5
FAZ	FAZ	PRO	PRO_4317
Frankfurter Allgemeine Zeitung	Frankfurter Allgemeine Zeitung	PRO	PRO_2358
Igor Zorčič	Igor Zorčič	PER	PER_1545
Jairju Bolsonaru	Jair Bolsonare	PER	PER_601
Janeza Janše	Janez Janše	PER	PER_2013
Janša	Janša	PER	PER_2013
Janše	Janše	PER	PER_2013
Janšev	Janšev	PER	PER_2013
Janševe	Janšev	PER	PER_2013
Janšo	Janšo	PER	PER_2013
Joeja Bidna	Joeja Bidno	PER	PER_76
Madžarskem	Madžarsko	LOC	LOC_1432
Matej Tonin	Matej Tonin	PER	PER_1483
Melanie	Melanie	PER	PER_4002
NZZ	NZZ	PRO	PRO_2271
Neue Zürcher Zeitung	Neue Zürcher Zeitung	PRO	PRO_2471
Pahorjem	Pahorje	PER	PER_1485
Politico	politica	PRO	PRO_543
Poljskem	Poljsko	LOC	LOC_107
Slovenija	Slovenija	LOC	LOC_831
Slovenije	Slovenija	LOC	LOC_831
Slovenijo	Slovenija	LOC	LOC_831
Slovenski	slovenski	PRO	PRO_4316
Spiegel	Spiegel	PRO	PRO_2277
Trump	Trump	PER	PER_977
Trumpa	Trumpa	PER	PER_977
Trumpove	Trumpov	PER	PER_977
Trumpovim	Trumpov	PER	PER_977
Trumpu	Trump	PER	PER_977
Viktor Orban	Viktor Orban	PER	PER_1435
Vladimirju Putinu	Vladimir Putino	PER	PER_315
Xi Jinpingu	Xi Jinping	PER	PER_1329
ZDA	ZDA	LOC	LOC_69
demokrata	demokrat	PER	PER_2172
demokratov	demokrat	ORG	ORG_3320
republikancem	republikanec	PER	PER_1985
republikancu	republikanec	PER	PER_1985
vzhodni Evropi	vzhoden Evropa	LOC	LOC_49
