sl-198
#MSM	# msm	EVT	EVT_1640
Američani	Američan	PER	PER_64
Bidnu	Bidno	PER	PER_1246
Borisom Johnsonom	Boris Johnson	PER	PER_52
Boruta Pahorja	Borut Pahor	PER	PER_1482
Bruslju	Bruselj	LOC	LOC_1373
Donalda Trumpa	Donalda Trumpa	PER	PER_70
Donaldu Trumpu	Donald Trump	PER	PER_70
EU	EU	ORG	ORG_5
Foreign Policy	foreign policy	PRO	PRO_4166
Janez Janša	Janez Janša	PER	PER_2013
Janša	Janša	PER	PER_2013
Janše	Janše	PER	PER_2013
Janševa	Janšev	PER	PER_2013
Janševo	Janšev	PER	PER_2013
Janšo	Janšo	PER	PER_2013
Josepha Bidna	Joseph Bidno	PER	PER_2173
Marjan Šarec	Marjan Šarec	PER	PER_1951
Mika Pencea	Mika Pence	PER	PER_3847
Münchenski varnostni konferenci	münchenski varnosten konferenca	EVT	EVT_4237
Orban	Orban	PER	PER_1435
Orbanom	Orban	PER	PER_1435
Slovenija	Slovenija	LOC	LOC_831
Sloveniji	Slovenija	LOC	LOC_831
Socialnih demokratov	socialen demokrat	ORG	ORG_1433
Tanja Fajon	Tanja Fajon	PER	PER_4235
Titanik	Titanik	PRO	PRO_4233
Titanika	Titanika	ORG	ORG_4232
Trumpa	Trumpa	PER	PER_977
Trumpovemu	Trumpov	PER	PER_977
Trumpu	Trump	PER	PER_977
Twito	Twito	PER	PER_4231
Viktorjem Orbanom	Viktor Orban	PER	PER_1435
Wolfganga Ischingerja	Wolfgang Ischinger	PER	PER_4236
ZDA	ZDA	LOC	LOC_69
Združenih državah	združen država	LOC	LOC_4164
Zorana Milanovića	Zoran Milanović	PER	PER_4234
twitterju	twitter	PRO	PRO_71
