sl-227
5G	5G	PRO	PRO_1358
Amy Klobuchar	Amy Klobuchar	PER	PER_4096
Anže Logar	Anže Logar	PER	PER_1471
Donald Trump	Donald Trump	PER	PER_70
Jernej Vrtovec	Jernej Vrtovec	PER	PER_4263
Joe Biden	Joe Biden	PER	PER_76
Logar	Logar	PER	PER_1471
Logarja	Logar	PER	PER_2081
Logarjem	Logar	LOC	LOC_4472
MZZ	MZZ	ORG	ORG_1628
Mikom Pompeom	Mik Pompeom	PER	PER_662
Minnesote	Minnesota	LOC	LOC_1747
Miro Cerar	Mira Cerar	PER	PER_4471
Natu	Nato	ORG	ORG_4042
Philip Reeker	Philip Reeker	PER	PER_2284
Pompeo	Pompea	PER	PER_662
Pompeom	Pompeom	PER	PER_662
STA	biti	ORG	ORG_953
Slovenije	Slovenija	LOC	LOC_831
Sloveniji	Slovenija	LOC	LOC_831
Slovenijo	Slovenija	LOC	LOC_831
Stanislava Vidoviča	Stanislava Vidovič	PER	PER_4474
State Departmentu	State Department	ORG	ORG_946
Tone Kajzer	Tone Kajzer	PER	PER_4473
Vrtovca	vrtovec	PER	PER_4470
Vrtovec	Vrtovec	PER	PER_4470
Washingtonu	Washington	LOC	LOC_183
ZDA	ZDA	LOC	LOC_69
