sl-23
#SaveTheChildren	# Savethechildren	PRO	PRO_603
#WWG1WGA	# Wwg1ww	EVT	EVT_4227
4chan	4chan	PRO	PRO_4208
4chanu	4chan	PRO	PRO_4208
5G	5G	PRO	PRO_1358
8chan	8chan	PRO	PRO_4208
8chana	Kchan	PRO	PRO_4218
8chanu	8chan	ORG	ORG_4220
AR-15	AR - 15	PRO	PRO_4206
Alexa Jonesa	Alexa Jones	PER	PER_4069
Amerike	Amerika	LOC	LOC_69
Američani	Američan	PER	PER_64
Angela Merkel	Angel Merkel	PER	PER_117
Atilla Hildmann	Atill Hildmann	PER	PER_3617
Balkanu	Balkan	LOC	LOC_1953
Bidnom	biden	PER	PER_1246
Brenton Tarrant	Brenton Tarrant	PER	PER_4216
Christchurcha	Christchurch	LOC	LOC_4215
Clintonovi	Clintonov	PER	PER_3473
Comet Ping Pong	Comet Ping Pong	PRO	PRO_4205
Donald Trump	Donald Trump	PER	PER_70
Donalda Trumpa	Donalda Trumpa	PER	PER_70
Edgar Maddison Welch	Edgar Maddison Welch	PER	PER_4210
Evropejci	Evropejec	PER	PER_411
FBI	FBI	ORG	ORG_3418
Fredrick Brennan	Fredrick Brennan	PER	PER_2142
Freedom for the Children UK	freedom for the children uk	ORG	ORG_4229
Furberja	Furber	ORG	ORG_4222
Guantanamo	Guantanamo	LOC	LOC_4225
Guantanamu	Guantanamo	LOC	LOC_4225
Hillary Clinton	Hillary Clinton	PER	PER_2175
Hooverjev	Hooverjev	PER	PER_3969
Infowarsu	Infowars	PRO	PRO_3793
Jim Watkins	Jim Watkins	PER	PER_4221
Johna Podeste	John Podeste	PER	PER_4211
Matthew Phillip Wright	Matthew Phillip Wright	PER	PER_2425
Nato	nato	ORG	ORG_3984
Nemčiji	Nemčija	LOC	LOC_27
Paul Furber	Paul Furber	PER	PER_4219
Pew Research	pew Research	ORG	ORG_1708
Pizzagate	pizzagati	PRO	PRO_4213
Pokemon Go	Pokemon go	PRO	PRO_1353
Q	Q	PRO	PRO_4207
QAnon	QAnon	PRO	PRO_3340
QAnona	Qanona	ORG	ORG_3420
QAnonom	Manon	PRO	PRO_3340
QAnonov	QAnonov	PER	PER_4228
QAnonove	Manonov	ORG	ORG_3420
Qdropov	Mdrop	PRO	PRO_4217
Qdrops	Qdrops	PRO	PRO_4217
Severni Karolini	severen Karolina	LOC	LOC_168
Slovencev	Slovenec	PER	PER_716
Trump	Trump	PER	PER_977
Trumpa	Trumpa	PER	PER_977
Trumpom	trump	PER	PER_977
Trumpove	Trumpov	PER	PER_977
Trumpovih	Trumpov	PER	PER_977
Veliki Britaniji	velik Britanija	LOC	LOC_6
WWG1WGA	Wwg1ww	PRO	PRO_4226
Washingtonu D.C	Washington D. C	LOC	LOC_183
Watsonovi	Watsonov	PER	PER_4223
Welch	Welch	PER	PER_4212
Wikileaks	Wikileaks	ORG	ORG_3506
Wired	Wired	PRO	PRO_4230
ZDA	ZDA	LOC	LOC_69
Združene države	združen država	LOC	LOC_4164
Združenih državah	združen država	LOC	LOC_4164
Zveznem preiskovalnem uradu	zvezen preiskovalen urad	ORG	ORG_4204
ameriških demokratov	ameriški demokrat	ORG	ORG_3320
covida-19	Covid - 19	EVT	EVT_233
demokrati	demokrat	PER	PER_2172
demokratsko	demokratsko	ORG	ORG_3320
facebook	facebook	PRO	PRO_98
facebooku	facebook	PRO	PRO_98
r/qanoncasualties	r / qanoncasualties	PRO	PRO_4224
republikancev	republikanec	PER	PER_1985
republikansko stranko	republikanski stranka	ORG	ORG_584
satanistov	satanist	ORG	ORG_4209
twitter	twitter	PRO	PRO_71
twitterju	twitter	PRO	PRO_71
