sl-40
Chapin	Chapin	ORG	ORG_4300
Donald Trump	Donald Trump	PER	PER_70
Donalda Trumpa	Donalda Trumpa	PER	PER_70
Empire Falls	Empire Falls	PRO	PRO_4303
Floridi	Floridi	LOC	LOC_894
Ivanka	Ivanka	PER	PER_3945
Ivanka Trump	Ivanka Trump	PER	PER_4296
Ivanke	Ivanka	PER	PER_2697
Ivanke Trump	Ivanka Trump	PER	PER_4296
Ivanki Trump	Ivanka Trump	PER	PER_4296
Ivankinega	Ivankine	PER	PER_2697
Ivankino	Ivankina	PER	PER_2697
Ivanko	Ivanko	PER	PER_2697
Ivanko Trump	Ivanko Trump	PER	PER_4296
Jared Kushner	Jared Kushner	PER	PER_3537
Jareda Kushnerja	Jared Kushner	PER	PER_3537
Jaredom Kushnerjem	Jared Kushner	PER	PER_3537
Joeja Bidna	Joeja Bidno	PER	PER_76
Kushnerja	Kushner	PER	PER_4306
Libanona	Libanon	LOC	LOC_2136
Lysandra Ohrstrom	Lysandra Ohrstrom	PER	PER_4299
Manhattnu	Manhattno	LOC	LOC_4029
Mar-a-Lago	mar - a - Laga	LOC	LOC_4036
Marija Antoaneta	Marija Antoanet	PER	PER_4304
Melania Trump	Melania Trump	PER	PER_1738
New Jersey	New Jersey	LOC	LOC_103
New York	New York	LOC	LOC_2256
New Yorka	New York	LOC	LOC_2256
New Yorku	New York	LOC	LOC_2256
Newyorčani	Newyorčan	PER	PER_1735
Ohrstromova	Ohrstromov	PER	PER_4301
Ohrstromovi	Ohrstromov	PER	PER_4301
Palm Beach	Palm Beach	LOC	LOC_4297
Richarda Russoja	Richard Russoj	PER	PER_4302
Times Squaru	Times Squar	PRO	PRO_4305
Trump	Trump	PER	PER_977
Trumpov	Trumpov	PER	PER_977
Trumpovi	Trumpov	PER	PER_977
Trumpovim	Trumpov	PER	PER_977
Vanity Fair	Vanity Fair	PRO	PRO_4298
Washington	Washington	LOC	LOC_183
ZDA	ZDA	LOC	LOC_69
