uk-20169
RBC.UA	RBC . UA	PRO	PRO_2552
Іллінойсу	Іллінойс	LOC	LOC_1249
Індіани	Індіана	LOC	LOC_336
Айови	Айова	LOC	LOC_3825
Арканзасу	Арканзас	LOC	LOC_3375
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Байдену	Байден	LOC	LOC_4642
Вермонт	Вермонт	LOC	LOC_1737
Вермонту	Вермонт	LOC	LOC_1737
Делаверу	Делавер	LOC	LOC_3342
Джо Байдену	Джо Байден	PER	PER_76
Міссісіпі	Міссісіп	LOC	LOC_4559
Невада	Невада	LOC	LOC_1153
Невади	Невада	LOC	LOC_1153
Неваді	Невад	LOC	LOC_1153
Нью-Гемпшира	Нью-Гемпшир	LOC	LOC_3454
Оклахоми	Оклах	LOC	LOC_4742
Південної Кароліни	південний Кароліна	LOC	LOC_168
РБК-Україна	РБК - Україна	ORG	ORG_2721
Республіканської партії	республіканський партія	ORG	ORG_584
США	США	LOC	LOC_69
Теннессі	Теннессі	LOC	LOC_3374
Трампа	Трамп	LOC	LOC_3316
