uk-20195
NYT	NYT	PRO	PRO_277
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Бред Раффенспергер	Бред Раффенспергер	PER	PER_3349
Даг Коллінз	Даг Коллінз	PER	PER_4652
Джо Байден	Джо Байден	PER	PER_76
Джорджія	Джорджія	LOC	LOC_2174
Джорджії	Джорджія	LOC	LOC_2174
Дональда Трампа	Дональд Трамп	PER	PER_70
Раффенспергер	Раффенспергер	PER	PER_3349
Раффенспергера	раффенспергера	PER	PER_4126
Раффенспергеру	Раффенспергер	PER	PER_3349
США	США	LOC	LOC_69
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
