uk-20209
FoxNews	FoxNews	ORG	ORG_3600
Аляска	Аляска	LOC	LOC_518
Аризоні	Аризоні	LOC	LOC_1748
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Байдену	Байден	LOC	LOC_4642
Джо Байдена	Джо Байден	PER	PER_76
Джорджія	Джорджія	LOC	LOC_2174
Джорджії	Джорджія	LOC	LOC_2174
Дональд Трамп	Дональд Трамп	PER	PER_70
Мічиган	Мічиган	LOC	LOC_99
Невада	Невада	LOC	LOC_1153
Неваді	Невад	LOC	LOC_1153
Пенсильванію	пенсильваний	LOC	LOC_3553
Пенсильванія	пенсильванія	LOC	LOC_3553
Пенсильванії	пенсильваний	LOC	LOC_3553
Північна Кароліна	північний Каролін	LOC	LOC_168
США	США	LOC	LOC_69
Трамп	Трамп	PER	PER_977
