uk-20305
FT	FT	EVT	EVT_4643
Financial Times	Financial Times	PRO	PRO_460
Афганістані	Афганістан	LOC	LOC_4648
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Барак Обама	Барак Обама	PER	PER_3496
Блінкен	Блінкен	PER	PER_3508
Білий дім	білий дім	ORG	ORG_1705
Білого дому	білий дім	ORG	ORG_1705
Вашингтон	Вашингтон	LOC	LOC_183
Верховного суду	верховний суд	ORG	ORG_3345
Володимира Путіна	Володимир Путін	PER	PER_315
Грузію	Гругія	LOC	LOC_2174
Грузії	Грузія	LOC	LOC_2174
Джейка Саллівана	Джейко Салліван	PER	PER_4020
Джен Псакі	Джен Псакі	PER	PER_4641
Джо Байден	Джо Байден	PER	PER_76
Джо Байдена	Джо Байден	PER	PER_76
Джон Кірбі	Джон Кірбі	PER	PER_4650
Джон Робертс	Джон Робертс	PER	PER_4432
Дональда Трампа	Дональд Трамп	PER	PER_70
Ендрю Вайс	Ендря Вайс	PER	PER_3443
Ентоні Блінкен	Ентоні Блінкен	PER	PER_3507
Західному фронті	західний фронт	LOC	LOC_4329
Капітолію	капітолія	LOC	LOC_3846
Китаю	Китай	LOC	LOC_56
Кремлем	кремль	LOC	LOC_150
Кремль	кремль	LOC	LOC_150
Кремля	кремль	LOC	LOC_150
Криму	Крим	LOC	LOC_2855
Москва	Москва	LOC	LOC_316
Москвою	Москва	LOC	LOC_316
НАТО	нато	ORG	ORG_864
Навальним	навальний	LOC	LOC_4649
Навального	навальне	ORG	ORG_4646
Олексія Навального	Олексія Навальне	PER	PER_4644
Пентагону	Пентагон	LOC	LOC_3360
Путін	Путін	PER	PER_315
Путіна	Путін	PER	PER_315
Росію	Росія	LOC	LOC_95
Росія	Росія	LOC	LOC_95
Росією	Росія	LOC	LOC_95
Росії	Росія	LOC	LOC_95
США	США	LOC	LOC_69
Салліван	Салліван	PER	PER_4020
Сенату	сенат	ORG	ORG_1012
Сполучених Штатів	сполучений Штатів	LOC	LOC_69
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
Трампу	Трамп	PER	PER_977
Україні	Україна	LOC	LOC_318
Фонду Карнегі за міжнародний мир	фонд Карнег за міжнародний мир	ORG	ORG_4645
кібератаки	кібератака	ORG	ORG_4647
