uk-20314
reuters	reuters	PRO	PRO_4723
Алабама	Алабам	LOC	LOC_3330
Арканзас	Арканзас	LOC	LOC_3375
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Берні Сандерс	Берні Сандерс	PER	PER_3472
Вермонті	вермонт	LOC	LOC_1737
Вірджинія	Вірджинія	LOC	LOC_3851
Демократичної партії США	демократичний партія США	ORG	ORG_584
Джо Байден	Джо Байден	PER	PER_76
Джо Байдена	Джо Байден	PER	PER_76
Дональд Трамп	Дональд Трамп	PER	PER_70
Каліфорнії	каліфорний	LOC	LOC_102
Колорадо	Колорадо	LOC	LOC_521
Майкла Блумберга	Майкл Блумберг	PER	PER_1515
Массачусетс	Массачусетс	LOC	LOC_550
Мен	Мен	LOC	LOC_4725
Міннесота	міннесот	LOC	LOC_100
Оклахома	Оклахома	LOC	LOC_520
Північна Кароліна	північний Каролін	LOC	LOC_168
США	США	LOC	LOC_69
Стейер	стейер	PER	PER_4658
Теннессі	Теннессі	LOC	LOC_3374
Тома Стейера	Том Стейер	PER	PER_4724
Трамп	Трамп	PER	PER_977
Юті	Юті	LOC	LOC_524
