uk-20328
Black Lives Matter	Black Lives Matter	EVT	EVT_4662
Dunder Mifflin Paper Company	Dunder Mifflin Paper Company	ORG	ORG_4660
Real Clear Politics	Real Clear Politics	PRO	PRO_3524
The Cook Political Report	The Cook Political Report	PRO	PRO_4663
Аризона	Аризона	LOC	LOC_1748
Байден	Байден	PER	PER_3577
Байдена	Байден	PER	PER_3577
Байдену	Байден	PER	PER_2995
Барак Обама	Барак Обама	PER	PER_3496
Беккі Дейл	Беккі Дейл	PER	PER_3355
Білому домі	білий дім	LOC	LOC_72
Вісконсин	Вісконсин	LOC	LOC_527
Вісконсину	Вісконсин	LOC	LOC_527
Вісконсині	Вісконсин	LOC	LOC_527
Гаррієт Агерхольм	Гаррієт Агерхольм	PER	PER_4664
Гретхен Вітмер	Гретхен Вітмер	PER	PER_1749
Гілларі Клінтон	Гіллар Клінтон	PER	PER_2175
Демократичної партії	демократичний партія	ORG	ORG_584
Детройтом	детройт	LOC	LOC_1669
Джо Байден	Джо Байден	PER	PER_76
Джорджія	Джорджія	PER	PER_2171
Джорджії	Джорджія	LOC	LOC_2174
Дональд Трамп	Дональд Трамп	PER	PER_70
Дональда Трампа	Дональд Трамп	PER	PER_70
Евіза Терці	евізати терка	PER	PER_4665
Кеноша	Кенош	LOC	LOC_3422
Мексикою	Мексика	LOC	LOC_79
Мічиган	Мічиган	LOC	LOC_99
Мічигану	Мічиган	LOC	LOC_99
Мічигані	Мічиган	LOC	LOC_99
Офіс	офіс	PRO	PRO_4659
Палатою представників	палата представник	ORG	ORG_3333
Пенсильванія	пенсильванія	LOC	LOC_4651
Пенсильванії	пенсильваний	LOC	LOC_4651
Північна Кароліна	північний Каролін	LOC	LOC_168
Республіканської партії	республіканський партія	ORG	ORG_584
США	США	LOC	LOC_69
Сенат	сенат	ORG	ORG_1012
Скрентон	Скрентон	LOC	LOC_3588
Сонячний штат	сонячний штат	LOC	LOC_4661
Трамп	Трамп	PER	PER_977
Трампа	Трамп	PER	PER_70
Флорида	Флорид	LOC	LOC_894
Флориди	Флорида	LOC	LOC_894
Флориді	флориді	LOC	LOC_894
Шон Віллмотт	Шон Віллмотт	PER	PER_4666
